example_id,agent,update_ms,read_ms,generation_ms,end_to_end_ms,model_loading_policy
conv-26-qa-197,lalm,2.9823924623220344,6.487799997557886,170.2173333336153,179.6875257934952,one shared preloaded model
conv-26-qa-198,lalm,2.9823924623220344,7.677300000068499,170.2173333336153,180.87702579600582,one shared preloaded model
conv-30-qa-0,lalm,4.359705714263588,8.305400002427632,193.8190749997375,206.4841807164287,one shared preloaded model
conv-30-qa-1,lalm,4.359705714263588,6.698900000628782,193.8190749997375,204.87768071462986,one shared preloaded model
conv-30-qa-2,lalm,4.359705714263588,6.802500000048894,193.8190749997375,204.98128071404997,one shared preloaded model
conv-30-qa-3,lalm,4.359705714263588,6.918999999470543,193.8190749997375,205.09778071347162,one shared preloaded model
conv-30-qa-4,lalm,4.359705714263588,7.668300000659656,147.0339249999597,159.06193071488295,one shared preloaded model
conv-30-qa-5,lalm,4.359705714263588,12.220199998409953,147.0339249999597,163.61383071263324,one shared preloaded model
conv-30-qa-6,lalm,4.359705714263588,10.660899999493267,147.0339249999597,162.05453071371656,one shared preloaded model
conv-30-qa-7,lalm,4.359705714263588,10.724800002208212,147.0339249999597,162.1184307164315,one shared preloaded model
conv-30-qa-8,lalm,4.359705714263588,7.518799997342285,144.07424999990326,155.95275571150913,one shared preloaded model
conv-30-qa-9,lalm,4.359705714263588,10.55130000167992,144.07424999990326,158.98525571584676,one shared preloaded model
conv-30-qa-10,lalm,4.359705714263588,10.16439999875729,144.07424999990326,158.59835571292413,one shared preloaded model
conv-30-qa-11,lalm,4.359705714263588,10.29489999928046,144.07424999990326,158.7288557134473,one shared preloaded model
conv-30-qa-12,lalm,4.359705714263588,7.234800003061537,218.85912500056293,230.45363071788805,one shared preloaded model
conv-30-qa-13,lalm,4.359705714263588,8.246800000051735,218.85912500056293,231.46563071487824,one shared preloaded model
conv-30-qa-14,lalm,4.359705714263588,10.414700002002064,218.85912500056293,233.63353071682857,one shared preloaded model
conv-30-qa-15,lalm,4.359705714263588,10.472400001162896,218.85912500056293,233.6912307159894,one shared preloaded model
conv-30-qa-16,lalm,4.359705714263588,7.3015000016312115,201.38047500040557,213.04168071630036,one shared preloaded model
conv-30-qa-17,lalm,4.359705714263588,8.656400001200382,201.38047500040557,214.39658071586953,one shared preloaded model
conv-30-qa-18,lalm,4.359705714263588,10.751699999673292,201.38047500040557,216.49188071434244,one shared preloaded model
conv-30-qa-19,lalm,4.359705714263588,10.336400002415758,201.38047500040557,216.0765807170849,one shared preloaded model
conv-30-qa-20,lalm,4.359705714263588,6.798999998864019,197.78760000008333,208.94630571321093,one shared preloaded model
conv-30-qa-21,lalm,4.359705714263588,11.22409999879892,197.78760000008333,213.37140571314583,one shared preloaded model
conv-30-qa-22,lalm,4.359705714263588,10.233699998934753,197.78760000008333,212.38100571328167,one shared preloaded model
conv-30-qa-23,lalm,4.359705714263588,9.662399999797344,197.78760000008333,211.80970571414426,one shared preloaded model
conv-30-qa-24,lalm,4.359705714263588,7.486600003176136,207.83659999960946,219.68290571704918,one shared preloaded model
conv-30-qa-25,lalm,4.359705714263588,11.708800000633346,207.83659999960946,223.9051057145064,one shared preloaded model
conv-30-qa-26,lalm,4.359705714263588,9.964300003048265,207.83659999960946,222.1606057169213,one shared preloaded model
conv-30-qa-27,lalm,4.359705714263588,10.386499998276122,207.83659999960946,222.58280571214917,one shared preloaded model
conv-30-qa-28,lalm,4.359705714263588,6.62440000087372,221.30600000036793,232.29010571550523,one shared preloaded model
conv-30-qa-29,lalm,4.359705714263588,9.945100002369145,221.30600000036793,235.61080571700066,one shared preloaded model
conv-30-qa-30,lalm,4.359705714263588,10.349899999710033,221.30600000036793,236.01560571434155,one shared preloaded model
conv-30-qa-31,lalm,4.359705714263588,10.426600001665065,221.30600000036793,236.09230571629658,one shared preloaded model
conv-30-qa-32,lalm,4.359705714263588,6.859400000394089,208.24560000073689,219.46470571539456,one shared preloaded model
conv-30-qa-33,lalm,4.359705714263588,11.479099997814046,208.24560000073689,224.08440571281452,one shared preloaded model
conv-30-qa-34,lalm,4.359705714263588,10.259999999107094,208.24560000073689,222.86530571410756,one shared preloaded model
conv-30-qa-35,lalm,4.359705714263588,10.240699997666525,208.24560000073689,222.846005712667,one shared preloaded model
conv-30-qa-36,lalm,4.359705714263588,7.819200000085402,125.49385000056645,137.67275571491544,one shared preloaded model
conv-30-qa-37,lalm,4.359705714263588,10.329100001399638,125.49385000056645,140.18265571622968,one shared preloaded model
conv-30-qa-38,lalm,4.359705714263588,6.301599998550955,125.49385000056645,136.155155713381,one shared preloaded model
conv-30-qa-39,lalm,4.359705714263588,7.113699997717049,125.49385000056645,136.9672557125471,one shared preloaded model
conv-30-qa-40,lalm,4.359705714263588,10.000400001445087,164.82702499979496,179.18713071550363,one shared preloaded model
conv-30-qa-41,lalm,4.359705714263588,12.456100001145387,164.82702499979496,181.64283071520393,one shared preloaded model
conv-30-qa-42,lalm,4.359705714263588,10.118700000020908,164.82702499979496,179.30543071407945,one shared preloaded model
conv-30-qa-43,lalm,4.359705714263588,5.72459999966668,164.82702499979496,174.91133071372522,one shared preloaded model
conv-30-qa-44,lalm,4.359705714263588,6.7673000012291595,172.02452499986975,183.1515307153625,one shared preloaded model
conv-30-qa-45,lalm,4.359705714263588,10.828099999343976,172.02452499986975,187.21233071347731,one shared preloaded model
conv-30-qa-46,lalm,4.359705714263588,10.409099999378668,172.02452499986975,186.793330713512,one shared preloaded model
conv-30-qa-47,lalm,4.359705714263588,10.882900001888629,172.02452499986975,187.26713071602197,one shared preloaded model
