example_id,agent,update_ms,read_ms,generation_ms,end_to_end_ms,model_loading_policy
0100672e,bounded_rag,198.39000000501983,4.004900009022094,206.62720000836998,409.0221000224119,one shared preloaded model
a96c20ee,bounded_rag,200.5934999906458,8.03979999909643,220.0594000023557,428.6926999920979,one shared preloaded model
92a0aa75,bounded_rag,188.14640000346117,4.061199986608699,227.1389000088675,419.34649999893736,one shared preloaded model
3fe836c9,bounded_rag,189.56700000853743,4.385599997476675,272.77379999577533,466.72640000178944,one shared preloaded model
1c549ce4,bounded_rag,184.16849999630358,8.182299992768094,268.1120000052033,460.462799994275,one shared preloaded model
6c49646a,bounded_rag,177.79909999808297,8.161999998264946,232.09900000074413,418.06009999709204,one shared preloaded model
1192316e,bounded_rag,190.6206999992719,4.1197000100510195,249.26070000219624,444.00110001151916,one shared preloaded model
0ea62687,bounded_rag,188.55609999445733,4.136499992455356,255.39710000157356,448.08969998848625,one shared preloaded model
67e0d0f2,bounded_rag,201.84030001109932,4.107200002181344,162.30530000757426,368.2528000208549,one shared preloaded model
bb7c3b45,bounded_rag,204.65669999248348,5.061000003479421,221.22269999817945,430.94039999414235,one shared preloaded model
ba358f49,bounded_rag,172.58139999466948,5.530700000235811,225.89830000652,404.0104000014253,one shared preloaded model
61f8c8f8,bounded_rag,189.48809998983052,8.062599998083897,217.76820000377484,415.31889999168925,one shared preloaded model
60159905,bounded_rag,182.93110000377055,3.915900000720285,236.34980000497308,423.1968000094639,one shared preloaded model
ef9cf60a,bounded_rag,208.55630000005476,4.027000002679415,235.45789999479894,448.0411999975331,one shared preloaded model
73d42213,bounded_rag,194.66740000643767,4.578299995046109,258.8787999993656,458.12450000084937,one shared preloaded model
bc149d6b,bounded_rag,188.09200001123827,8.10500000079628,219.7269000025699,415.92390001460444,one shared preloaded model
099778bb,bounded_rag,191.08770000457298,5.307999992510304,257.8607000032207,454.256400000304,one shared preloaded model
09ba9854,bounded_rag,185.7291000051191,8.202299999538809,159.12860000389628,353.0600000085542,one shared preloaded model
d6062bb9,bounded_rag,211.0417000076268,4.001900000730529,255.64430000667926,470.6879000150366,one shared preloaded model
157a136e,bounded_rag,196.2142000120366,4.405399988172576,225.45690000697505,426.0765000071842,one shared preloaded model
c18a7dc8,bounded_rag,200.7646999991266,6.612199998926371,254.96199999179225,462.33889998984523,one shared preloaded model
a3332713,bounded_rag,188.5545999975875,4.628100010449998,214.66330000839662,407.8460000164341,one shared preloaded model
55241a1f,bounded_rag,209.50120000634342,8.497199989506043,240.3312999958871,458.32969999173656,one shared preloaded model
a08a253f,bounded_rag,216.4372999977786,10.389899995061569,146.54419998987578,373.37139998271596,one shared preloaded model
f0e564bc,bounded_rag,252.06259998958558,8.491300002788194,344.4244999991497,604.9783999915235,one shared preloaded model
078150f1,bounded_rag,256.57569999748375,10.457700002007186,316.3198999973247,583.3532999968156,one shared preloaded model
8cf4d046,bounded_rag,253.8572000048589,14.507800005958416,281.20539999508765,549.570400005905,one shared preloaded model
a346bb18,bounded_rag,230.63059999549296,8.345499998540618,289.7762999928091,528.7523999868426,one shared preloaded model
37f165cf,bounded_rag,221.85249999165535,5.1509999902918935,251.2877999979537,478.29129997990094,one shared preloaded model
8e91e7d9,bounded_rag,209.7628000046825,9.243299995432608,304.13689999841154,523.1429999985266,one shared preloaded model
87f22b4a,bounded_rag,199.90960000723135,6.07010000385344,235.11490000237245,441.09460001345724,one shared preloaded model
e56a43b9,bounded_rag,196.60920000751503,4.997500000172295,195.84159999794792,397.44830000563525,one shared preloaded model
efc3f7c2,bounded_rag,207.8149000008125,3.9665000076638535,139.90749999356922,351.68890000204556,one shared preloaded model
21d02d0d,bounded_rag,246.18449999252334,8.425399995758198,126.7643000028329,381.37419999111444,one shared preloaded model
2311e44b_abs,bounded_rag,259.8190999997314,8.153099988703616,334.66399999451824,602.6361999829533,one shared preloaded model
6456829e_abs,bounded_rag,265.23699999961536,9.560999998939224,318.0734999914421,592.8714999899967,one shared preloaded model
e5ba910e_abs,bounded_rag,276.345800011768,8.038300002226606,280.54969999357127,564.9338000075659,one shared preloaded model
a96c20ee_abs,bounded_rag,214.68350000213832,5.46409998787567,257.43040000088513,477.5779999908991,one shared preloaded model
ba358f49_abs,bounded_rag,209.50679999077693,5.336900008842349,254.46080000256188,469.30450000218116,one shared preloaded model
09ba9854_abs,bounded_rag,212.05810000537895,5.962700000964105,311.93689999054186,529.9576999968849,one shared preloaded model
gpt4_59149c77,bounded_rag,281.95839999534655,9.85039999068249,316.9664000015473,608.7751999875763,one shared preloaded model
gpt4_f49edff3,bounded_rag,266.9561000075191,10.007299992139451,321.3099999993574,598.273399999016,one shared preloaded model
